Date,Close/Last,Volume,Open,High,Low
05/09/2022,47.96,37706840.00,49.30,49.44,47.63
05/06/2022,49.80,23446330.00,49.96,50.29,49.50
05/05/2022,50.36,60506940.00,50.53,51.21,49.81
05/04/2022,49.06,28442980.00,48.80,49.25,48.34
05/03/2022,48.87,24773030.00,49.15,49.48,48.75
05/02/2022,49.14,32608090.00,48.70,49.76,48.57
04/29/2022,49.02,38250850.00,49.45,50.25,48.74
04/28/2022,49.11,43816870.00,49.01,49.92,47.96
04/27/2022,48.64,59106880.00,49.06,49.26,47.82
04/26/2022,49.68,115020400.00,51.57,51.62,49.43
04/25/2022,51.70,176803600.00,51.02,52.29,50.24
04/22/2022,48.93,76504490.00,47.77,49.73,47.49
04/21/2022,47.08,70413600.00,45.51,47.94,45.50
04/20/2022,46.72,63360020.00,46.34,47.11,45.03
04/19/2022,46.16,125776000.00,47.30,48.50,45.00
04/18/2022,48.45,153119600.00,46.24,48.73,44.36
04/14/2022,45.08,258868300.00,48.37,48.50,44.72
04/13/2022,45.85,44306700.00,44.80,46.33,44.55
04/12/2022,44.48,60794030.00,47.03,47.55,44.44
04/11/2022,47.01,117814000.00,45.75,47.98,44.71
04/08/2022,46.23,83315950.00,47.30,48.44,45.83
04/07/2022,48.03,120844100.00,50.47,51.64,46.55
04/06/2022,50.77,159034700.00,50.04,52.87,49.30
04/05/2022,50.98,217520100.00,53.85,54.57,50.56
04/04/2022,49.97,269213100.00,47.87,51.37,46.86
04/01/2022,39.31,12131790.00,39.16,39.86,39.00
03/31/2022,38.69,13208330.00,39.11,39.23,38.41
03/30/2022,39.00,15804340.00,40.35,40.35,38.57
03/29/2022,40.69,17855440.00,39.48,40.96,39.39
03/28/2022,39.12,14225620.00,38.44,39.30,38.30
03/25/2022,38.60,20787530.00,38.99,39.47,37.69
03/24/2022,38.82,18281410.00,38.33,39.09,38.23
03/23/2022,38.00,12993640.00,38.00,38.75,37.58
03/22/2022,38.43,17162050.00,37.64,39.05,37.62
03/21/2022,37.44,20298740.00,37.70,37.89,36.64
03/18/2022,37.77,35946310.00,37.46,39.05,37.18
03/17/2022,37.30,30853070.00,35.21,37.71,34.89
03/16/2022,35.37,25197010.00,34.90,35.65,34.32
03/15/2022,33.97,14677990.00,33.12,34.52,33.00
03/14/2022,33.03,17551480.00,32.69,33.95,32.48
03/11/2022,33.00,15751910.00,34.04,34.11,32.88
03/10/2022,34.12,12583300.00,33.63,34.44,33.37
03/09/2022,34.37,16886050.00,33.55,34.53,33.30
03/08/2022,32.68,17410610.00,32.27,33.83,31.95
03/07/2022,32.42,18780250.00,33.51,33.88,32.40
03/04/2022,33.39,17537860.00,33.75,34.23,32.95
03/03/2022,33.49,18791980.00,34.90,35.18,33.45
03/02/2022,34.62,18255140.00,35.77,35.77,34.13
03/01/2022,35.56,17948020.00,35.51,36.13,34.71
02/28/2022,35.55,17962030.00,34.95,36.05,34.86
02/25/2022,35.29,15394860.00,35.12,35.30,34.13
02/24/2022,34.98,22551010.00,31.30,35.07,31.30
02/23/2022,32.76,15102050.00,33.25,33.46,32.42
02/22/2022,32.93,16913050.00,33.66,33.93,32.75
02/18/2022,34.32,15339040.00,35.49,35.66,34.10
02/17/2022,35.43,16524410.00,35.99,36.61,35.32
02/16/2022,36.24,17602360.00,35.97,36.29,35.52
02/15/2022,36.98,21350450.00,36.23,37.00,36.06
02/14/2022,35.69,15212640.00,35.62,36.61,35.50
02/11/2022,35.84,23516840.00,37.42,37.76,35.66
02/10/2022,37.08,48150270.00,36.56,39.10,36.22
02/09/2022,37.83,24473520.00,36.50,37.92,36.14
02/08/2022,35.98,17194930.00,35.52,36.27,35.15
02/07/2022,36.04,22770460.00,36.72,37.33,35.90
02/04/2022,36.94,23579590.00,35.66,37.44,34.76
02/03/2022,34.48,32803390.00,33.84,35.18,33.84
02/02/2022,36.51,18992990.00,38.29,38.29,36.25
02/01/2022,38.12,14628250.00,37.84,38.17,36.87
01/31/2022,37.51,17558280.00,35.43,37.56,35.34
01/28/2022,35.27,14368690.00,33.79,35.30,33.60
01/27/2022,33.84,16637280.00,34.14,35.14,33.81
01/26/2022,33.62,21377950.00,34.97,35.43,33.27
01/25/2022,34.17,19205770.00,34.22,34.99,33.62
01/24/2022,35.06,31932960.00,33.70,35.14,32.05
01/21/2022,34.82,25674080.00,36.90,37.08,34.80
01/20/2022,37.28,17688910.00,37.84,39.03,37.20
01/19/2022,37.35,19797990.00,37.13,38.28,37.01
01/18/2022,37.30,14915250.00,37.72,38.20,37.13
01/14/2022,38.44,14849800.00,38.43,39.05,37.51
01/13/2022,38.70,15075630.00,40.15,40.34,38.61
01/12/2022,40.25,10439040.00,40.88,41.48,39.77
01/11/2022,40.66,13815390.00,39.79,40.94,39.60
01/10/2022,39.97,14997300.00,39.33,40.04,38.22
01/07/2022,39.67,14669910.00,39.65,40.69,39.32
01/06/2022,39.59,16613360.00,39.50,40.44,38.69
01/05/2022,39.50,22008560.00,40.80,41.88,39.45
01/04/2022,40.85,21422440.00,42.85,42.97,40.36
01/03/2022,42.66,14447450.00,43.50,43.69,42.48
12/31/2021,43.22,9829619.00,44.34,44.76,43.18
12/30/2021,44.46,14541110.00,42.77,45.09,42.63
12/29/2021,42.76,8732869.00,43.17,43.55,42.56
12/28/2021,43.43,8838648.00,44.21,44.78,43.23
12/27/2021,44.33,8596818.00,44.21,44.92,44.13
12/23/2021,44.16,8977559.00,44.00,44.53,43.00
12/22/2021,43.90,10134790.00,44.05,44.56,43.63
12/21/2021,44.36,9537405.00,43.23,44.45,42.73
12/20/2021,42.98,12319480.00,42.37,43.27,41.79
12/17/2021,43.07,29138000.00,42.70,44.03,41.63
12/16/2021,43.13,13052610.00,44.43,45.03,42.72
12/15/2021,44.07,14962110.00,44.00,44.24,42.74
12/14/2021,44.35,11205450.00,44.04,44.69,43.70
12/13/2021,44.60,11710280.00,45.55,45.90,43.78
12/10/2021,45.56,14060610.00,46.60,46.60,44.97
12/09/2021,46.46,26145240.00,47.21,48.22,46.41
12/08/2021,45.72,18408230.00,44.60,46.20,44.34
12/07/2021,44.46,21200450.00,45.07,46.34,44.32
12/06/2021,44.47,26228740.00,42.11,44.72,41.75
12/03/2021,42.07,26133740.00,42.82,43.10,41.01
12/02/2021,42.65,24374790.00,43.06,43.16,41.75
12/01/2021,42.82,34145360.00,44.91,46.50,42.80
11/30/2021,43.94,36213370.00,45.51,45.85,43.00
11/29/2021,45.78,71686650.00,51.88,52.27,45.62
11/26/2021,47.07,7861278.00,46.64,47.35,46.23
11/24/2021,47.52,9979511.00,46.66,47.64,46.16
11/23/2021,47.14,19663660.00,47.20,47.46,45.98
11/22/2021,47.31,26620060.00,48.51,48.55,46.52
11/19/2021,48.40,26162360.00,49.12,50.37,48.40
11/18/2021,48.60,22373490.00,50.65,50.83,48.46
11/17/2021,50.61,16968840.00,52.03,52.14,50.58
11/16/2021,52.11,10743600.00,52.86,53.00,51.88
11/15/2021,52.95,21965590.00,52.41,53.91,52.41
11/12/2021,52.25,13287620.00,52.30,52.81,51.92
11/11/2021,51.98,13972050.00,52.59,52.84,51.84
11/10/2021,52.33,18858420.00,53.25,53.98,51.75
11/09/2021,53.70,11230070.00,54.11,54.93,53.16
11/08/2021,54.08,10565450.00,53.45,54.32,53.16
11/05/2021,53.15,13273810.00,54.11,54.18,52.81
11/04/2021,53.68,11284750.00,54.58,54.84,53.18
11/03/2021,54.53,9774196.00,53.68,54.55,53.10
11/02/2021,53.99,11571390.00,55.04,55.08,53.78
11/01/2021,55.11,14747010.00,53.56,55.33,53.41
10/29/2021,53.54,14832440.00,54.01,54.48,53.15
10/28/2021,54.29,22508360.00,55.08,55.64,53.89
10/27/2021,54.81,48107730.00,60.05,60.16,54.79
10/26/2021,61.43,22676080.00,62.66,63.08,60.94
10/25/2021,62.11,15874510.00,61.52,62.67,60.45
10/22/2021,62.24,17636450.00,63.81,64.47,62.09
10/21/2021,65.40,10918520.00,65.67,65.98,64.73
10/20/2021,65.80,15938350.00,66.36,68.41,65.54
10/19/2021,66.11,11486880.00,65.14,67.36,64.30
10/18/2021,64.84,10359530.00,62.69,65.07,62.67
10/15/2021,62.77,6693575.00,63.24,63.43,62.29
10/14/2021,63.17,6815679.00,63.01,63.78,62.75
10/13/2021,62.20,9431811.00,61.96,62.74,61.51
10/12/2021,61.45,9952091.00,61.68,62.80,60.79
10/11/2021,62.10,9020360.00,62.99,63.51,62.07
10/08/2021,63.68,8098840.00,64.25,64.34,63.31
10/07/2021,63.97,15010450.00,62.20,64.36,62.15
10/06/2021,61.29,10648060.00,58.95,61.71,58.79
10/05/2021,59.86,12006520.00,59.21,60.67,58.82
10/04/2021,58.39,17381330.00,61.04,61.16,57.64
10/01/2021,61.98,9728406.00,60.81,62.14,60.56
09/30/2021,60.39,9372556.00,60.38,61.23,59.86
09/29/2021,60.07,9256079.00,62.94,63.36,60.01
09/28/2021,62.45,9866597.00,64.36,64.54,62.16
09/27/2021,65.37,11264860.00,66.61,67.09,65.22
09/24/2021,67.22,11035730.00,66.09,67.45,65.46
09/23/2021,66.69,15123550.00,64.79,66.93,64.04
09/22/2021,64.25,13052280.00,62.05,64.63,61.26
09/21/2021,62.78,10400270.00,61.51,63.30,61.51
09/20/2021,60.95,12194270.00,61.15,61.32,59.84
09/17/2021,62.47,9813245.00,62.10,62.98,61.65
09/16/2021,62.29,9918661.00,61.53,62.61,60.93
09/15/2021,61.84,13074530.00,60.10,61.91,59.64
09/14/2021,60.19,8240068.00,60.07,60.70,59.49
09/13/2021,59.66,16851570.00,61.30,61.41,58.45
09/10/2021,61.56,7032095.00,62.95,63.37,61.47
09/09/2021,62.46,8168889.00,62.36,63.18,62.24
09/08/2021,62.27,11767220.00,64.94,65.36,62.08
09/07/2021,64.98,7149388.00,64.71,65.13,64.15
09/03/2021,64.66,5061371.00,64.43,65.09,63.85
09/02/2021,64.60,8591562.00,65.97,66.05,64.41
09/01/2021,65.55,15284350.00,64.65,66.72,64.65
08/31/2021,64.50,9157875.00,64.52,65.15,64.16
08/30/2021,64.70,8071895.00,63.70,65.05,63.45
08/27/2021,63.43,6332555.00,62.72,63.72,62.49
08/26/2021,62.61,6379518.00,63.96,64.25,62.53
08/25/2021,64.17,5470229.00,63.95,64.31,63.20
08/24/2021,63.98,6133879.00,64.84,65.06,63.92
08/23/2021,64.13,9962350.00,63.20,64.56,63.06
08/20/2021,62.52,8596261.00,62.13,63.17,61.99
08/19/2021,62.05,8508145.00,61.59,63.19,61.50
08/18/2021,62.12,6890963.00,62.85,63.31,62.07
08/17/2021,62.88,6950259.00,63.34,63.84,62.36
08/16/2021,63.78,11993860.00,64.34,64.94,62.81
08/13/2021,64.82,6083957.00,64.99,65.77,64.62
08/12/2021,64.95,7961057.00,64.81,65.28,64.06
08/11/2021,65.46,8630505.00,65.79,66.34,64.63
08/10/2021,65.68,8995701.00,67.20,67.37,65.57
08/09/2021,67.01,7938295.00,67.50,67.52,66.45
08/06/2021,67.37,11458070.00,69.30,69.81,66.88
08/05/2021,69.28,8634574.00,68.85,69.45,68.08
08/04/2021,68.70,7578368.00,68.68,69.08,67.91
08/03/2021,68.63,9221355.00,69.87,70.96,68.08
08/02/2021,69.13,12040810.00,70.23,70.44,68.66
07/30/2021,69.75,13220520.00,69.83,71.13,69.50
07/29/2021,70.37,11629950.00,69.50,71.59,69.50
07/28/2021,69.96,23203600.00,68.39,71.92,67.76
07/27/2021,68.33,16988330.00,68.32,69.48,66.86
07/26/2021,68.69,29185120.00,71.25,71.25,67.48
07/23/2021,71.69,44275800.00,72.20,73.34,69.88
07/22/2021,69.57,24130380.00,68.64,70.13,68.51
07/21/2021,69.54,10082850.00,67.59,69.77,67.55
07/20/2021,67.94,11583920.00,66.25,68.54,65.82
07/19/2021,66.02,15830110.00,65.24,66.73,64.65
07/16/2021,66.41,14271100.00,68.56,69.28,66.14
07/15/2021,68.07,14933780.00,70.10,70.16,67.41
07/14/2021,70.27,21555860.00,70.42,72.07,70.09
07/13/2021,69.60,9992695.00,69.54,70.87,69.26
07/12/2021,69.86,9223642.00,69.46,70.44,68.80
07/09/2021,68.97,14393750.00,67.07,69.01,66.98
07/08/2021,66.83,12782460.00,67.00,67.61,66.24
07/07/2021,68.76,10609320.00,70.63,70.85,68.71
07/06/2021,70.21,12317420.00,69.35,70.93,69.23
07/02/2021,69.20,8098529.00,68.71,69.29,68.43
07/01/2021,68.11,9988136.00,68.57,70.00,67.37
06/30/2021,68.81,9752947.00,68.76,69.12,68.25
06/29/2021,69.00,9526441.00,68.28,69.38,67.93
06/28/2021,68.29,11176110.00,68.16,68.63,67.08
06/25/2021,67.93,13896870.00,68.29,68.92,67.28
06/24/2021,68.25,23144770.00,66.75,68.74,66.75
06/23/2021,66.49,18547980.00,63.91,66.77,63.79
06/22/2021,63.78,16686240.00,61.92,64.05,61.91
06/21/2021,61.96,12027150.00,60.85,62.09,59.74
06/18/2021,60.85,13272990.00,60.20,60.97,59.53
06/17/2021,60.71,10201250.00,59.61,61.62,59.53
06/16/2021,59.93,9336461.00,60.12,61.15,59.15
06/15/2021,60.23,9579902.00,61.09,61.32,60.19
06/14/2021,60.83,9316553.00,60.85,61.55,60.45
06/11/2021,60.50,6980424.00,59.95,60.63,59.87
06/10/2021,60.30,8717489.00,59.80,60.38,58.74
06/09/2021,59.71,16163560.00,59.59,61.05,59.41
06/08/2021,58.81,12772930.00,59.79,60.09,57.82
06/07/2021,59.63,10538560.00,58.62,59.83,57.72
06/04/2021,59.00,12256130.00,57.41,59.30,57.32
06/03/2021,57.01,21985670.00,56.96,58.67,55.83
06/02/2021,57.16,9472925.00,57.28,57.64,56.32
06/01/2021,57.44,13122740.00,58.20,58.20,56.27
05/28/2021,58.00,8752685.00,58.20,58.56,57.83
05/27/2021,58.08,9113856.00,57.64,58.30,57.03
05/26/2021,57.85,15984390.00,57.37,58.61,57.31
05/25/2021,57.00,13488920.00,57.35,57.64,56.54
05/24/2021,57.06,25656380.00,54.90,57.33,54.66
05/21/2021,54.45,12583400.00,55.00,55.00,53.94
05/20/2021,54.71,12612700.00,53.23,54.91,53.22
05/19/2021,52.92,21551250.00,52.19,53.16,51.67
05/18/2021,53.19,23612300.00,52.60,55.15,52.42
05/17/2021,52.60,21309860.00,52.23,52.73,51.28
05/14/2021,51.73,9836820.00,50.61,51.92,50.19
05/13/2021,50.11,14303880.00,51.68,51.77,49.12
05/12/2021,50.70,17223220.00,51.87,52.38,50.06
05/11/2021,52.88,16749950.00,49.52,53.19,49.20
05/10/2021,51.81,17362310.00,53.01,53.08,51.62
